afghani
afghani
ariary
ariary malgache
baht
baht thaï
balboa
balboa panaméen
birr
birr éthiopien
bolivar souverain
bolívar vénézuélien
boliviano
boliviano bolivien
cedi
cedi ghanéen
colon
colon costaricain
colon costaricien
colon du costa rica
cordoba nicaraguayen
córdoba nicaraguayen
córdoba oro
couronne danoise
couronne féroïenne
couronne islandaise
couronne norvégienne
couronne suédoise
couronne tchèque
dalasi
dalasi gambien
denar
denar macédonien
dinar algérien
dinar bahreïni
dinar de bahreïn
dinar irakien
dinar jordanien
dinar koweïtien
dinar libyen
dinar lybien
dinar serbe
dinar tunisien
dinar yougoslave
dirham des émirats
dirham des émirats arabes unis
dirham marocain
dobra
dobra santoméen
dollar
dollar américain
dollar australien
dollar bahaméen
dollar barbadien
dollar bélizien
dollar canadien
dollar de belize
dollar de brunei
dollar de fidji
dollar de hong kong
dollar de la barbade
dollar de singapour
dollar de surinam
dollar des bahamas
dollar des bermudes
dollar des caraïbes orientales
dollar des états-unis
dollar des îles caïmans
dollar des îles salomon
dollar des kiribati
dollar du suriname
dollar du zimbabwe
dollar fidjien
dollar guyanais
dollar guyanien
dollar jamaïcain
dollar libérien
dollar namibien
dollar néo-zélandais
dollar singapourien
dollar surinamais
dollar trinidadien
dong
dong vietnamien
dram
dram arménien
escudo cap-verdien
escudo du cap-vert
euro
euro (de facto)
fkp livre
florin
florin antillais
florin arubais
florin des antilles néerlandaises
forint hongrois
franc
franc burundais
franc cfa
franc cfa (bceao)
franc cfa (beac)
franc cfa (cemac)
franc cfa (uemoa)
franc comorien
franc congolais
franc de djibouti
franc guinéen
franc pacifique
franc pacifique (cfp)
franc rwandais
franc suisse
ggp livre
gourde haïtien
gourde haïtienne
grivna ukrainien
guarani
guaraní paraguayen
hkd dollar
hryvnia
inr roupie indienne
jep livre
kina
kip
kip laotien
kuna
kuna croate
kwacha de zambie
kwacha malawien
kwacha malawite
kwacha zambien
kwacha zambienne
kwanza
kwanza angolais
kyat
kyat birman
lari
lari géorgien
lek albanais
lempira
lempira hondur
lempira hondurien
leone
leone sierra-léonais
leu moldave
leu roumain
lev bulgare
lilangeni
lilangeni swazilandais
lire turque
litas lituanien
livre
livre de guernesey
livre de jersey
livre de sainte-hélène
livre des îles malouines
livre des îles malouines[réf. nécessaire]
livre égyptienne
livre libanaise
livre mannoise
livre manx
livre soudanaise
livre sterling
livre sterling britannique
